person_id,household_id,day,start_time_min,end_time_min,purpose,zone_id,x,y,zone,activity_type
53,17,4,5345,5375,RECREATION,349,4459548.51662743,5399855.15417112,349,RECREATION_PRIMARY
53,17,4,5380,5759,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,5,5760,6735,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,5,6741,6876,RECREATION,140,4456327.0483269,5407245.80713746,140,RECREATION_ON_RECREATION
53,17,5,6885,6915,RECREATION,302,4457187.00743402,5400367.58752098,302,RECREATION_PRIMARY
53,17,5,6921,7199,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,6,7200,7697,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,6,7701,7761,RECREATION,254,4462354.35883005,5403892.98561539,254,RECREATION_ON_SHOP
53,17,6,7782,7807,SHOPPING,202,4456144.23956583,5402229.90117168,202,SHOP_PRIMARY
53,17,6,7813,8639,HOME,237,4460026,5403523.5,237,MANDATORY
